
=== 新表だけ の上位語 ===
語	旧部門	新部門	lexname
アクセス	-	4	artifact
処理	3	5	process
インターネット	13	4	artifact
自動	1	4	artifact
モジュール	1	4	artifact
スキャン	-	4	artifact
シェル	-	45	animal/artifact/substance
台	124	4	artifact
プラットフォーム	-	4	artifact
ポート	-	4	artifact
社	12	4	artifact
ハッシュ	-	4	artifact/food
紐	-	4	artifact
進化	1	5	process
持ち出し	1	4	artifact
リセット	1	4	artifact
ストア	2	4	artifact
枠	14	4	artifact
トリガー	-	4	artifact
主体	1	5	substance
ルーター	-	4	artifact
バッファー	-	4	artifact
透明性	-	5	phenomenon
添付	1	4	artifact
検体	-	5	body
バケット	-	4	artifact
エクスポート	-	4	artifact
遠隔操作	3	4	artifact
ツリー	-	5	plant
ハードウェア	34	4	artifact

=== 旧表だけ の上位語 ===
語	旧部門	新部門	lexname
標的	4	1234	artifact/communication/location/person
パッチ	4	34	artifact/communication
背景	5	134	artifact/cognition/event/location/state
鍵	4	34	artifact/cognition/communication
キー	4	34	artifact/cognition/communication
バイパス	4	34	act/artifact
フィールド	4	123	act/cognition/group/location/state
タグ	4	34	artifact/communication
チェーン	4	124	artifact/group/quantity
亜種	5	2	group
機械	4	24	artifact/group/person
反映	5	35	communication/phenomenon
汚染	5	135	act/state/substance
踏み台	4	-	-
定番	4	-	-
台帳	4	34	artifact/communication/possession
ディスク	4	14	artifact/shape
武器	4	34	artifact/communication
土台	4	134	artifact/cognition/location/quantity/relation
ラベル	4	23	communication/person
ノイズ	5	12	event/person
チケット	4	3	communication
クローン	5	2	group
フォーク	4	34	artifact/communication
テーブル	4	24	artifact/food/group
ロック	4	2345	act/artifact/communication/person/substance
無害	5	-	-
ロード	4	124	artifact/location/person
装置	4	34	act/artifact
フレーム	4	134	artifact/attribute/cognition
