lexname	語数	最頻の部門	占有率	内訳
noun.Tops	24	関係	38%	関係 9、自然物 9、活動 5、主体 1
noun.act	1859	活動	77%	活動 1424、関係 357、自然物 50、主体 16、生産物 12
noun.animal	232	自然物	94%	自然物 219、生産物 5、主体 5、活動 2、関係 1
noun.artifact	2615	生産物	79%	生産物 2070、主体 209、活動 173、関係 138、自然物 25
noun.attribute	838	関係	46%	関係 384、活動 318、自然物 122、主体 8、生産物 6
noun.body	344	自然物	93%	自然物 320、関係 14、生産物 5、活動 3、主体 2
noun.cognition	773	活動	79%	活動 614、関係 87、主体 29、自然物 27、生産物 16
noun.communication	1688	活動	89%	活動 1499、関係 97、生産物 64、自然物 25、主体 3
noun.event	274	活動	38%	活動 104、関係 98、自然物 68、主体 4
noun.feeling	163	活動	92%	活動 150、自然物 9、関係 3、主体 1
noun.food	397	生産物	76%	生産物 300、自然物 59、活動 30、関係 7、主体 1
noun.group	458	主体	66%	主体 300、活動 91、関係 47、自然物 15、生産物 5
noun.location	369	主体	41%	主体 151、関係 132、自然物 47、生産物 35、活動 4
noun.motive	8	活動	50%	活動 4、関係 2、自然物 2
noun.object	271	自然物	83%	自然物 224、関係 23、主体 13、生産物 8、活動 3
noun.person	1985	主体	90%	主体 1796、活動 93、関係 49、自然物 25、生産物 22
noun.phenomenon	177	自然物	76%	自然物 134、関係 39、活動 2、生産物 1、主体 1
noun.plant	180	自然物	87%	自然物 156、生産物 10、活動 6、関係 5、主体 3
noun.possession	267	活動	78%	活動 209、生産物 36、関係 16、主体 4、自然物 2
noun.process	116	自然物	53%	自然物 61、関係 35、活動 18、生産物 2
noun.quantity	204	関係	89%	関係 182、活動 12、生産物 5、自然物 4、主体 1
noun.relation	90	関係	82%	関係 74、活動 15、自然物 1
noun.shape	93	関係	87%	関係 81、生産物 5、自然物 3、活動 3、主体 1
noun.state	674	自然物	48%	自然物 325、活動 188、関係 151、生産物 6、主体 4
noun.substance	522	自然物	62%	自然物 323、生産物 184、関係 8、活動 4、主体 3
noun.time	399	関係	85%	関係 340、活動 39、自然物 15、生産物 3、主体 2
