3 コーパス合計: 新だけ 974 件 / 旧だけ 937 件 / 両方 377 件
異なり語数: 新だけ 174 / 旧だけ 198

== 新表だけ の語(上位 40)==
  1 アクセス	102	累積 102 (10.5%)
  2 処理	78	累積 180 (18.5%)
  3 インターネット	64	累積 244 (25.1%)
  4 自動	40	累積 284 (29.2%)
  5 モジュール	37	累積 321 (33.0%)
  6 スキャン	32	累積 353 (36.2%)
  7 シェル	28	累積 381 (39.1%)
  8 台	24	累積 405 (41.6%)
  9 プラットフォーム	23	累積 428 (43.9%)
 10 ポート	21	累積 449 (46.1%)
 11 社	20	累積 469 (48.2%)
 12 ハッシュ	19	累積 488 (50.1%)
 13 紐	13	累積 501 (51.4%)
 14 進化	13	累積 514 (52.8%)
 15 持ち出し	12	累積 526 (54.0%)
 16 リセット	12	累積 538 (55.2%)
 17 ストア	11	累積 549 (56.4%)
 18 枠	10	累積 559 (57.4%)
 19 トリガー	10	累積 569 (58.4%)
 20 主体	10	累積 579 (59.4%)
 21 ルーター	10	累積 589 (60.5%)
 22 バッファー	9	累積 598 (61.4%)
 23 透明性	9	累積 607 (62.3%)
 24 添付	8	累積 615 (63.1%)
 25 検体	8	累積 623 (64.0%)
 26 バケット	8	累積 631 (64.8%)
 27 エクスポート	8	累積 639 (65.6%)
 28 遠隔操作	8	累積 647 (66.4%)
 29 ツリー	8	累積 655 (67.2%)
 30 ハードウェア	8	累積 663 (68.1%)
 31 スナップショット	8	累積 671 (68.9%)
 32 コントローラー	7	累積 678 (69.6%)
 33 電力	7	累積 685 (70.3%)
 34 デスクトップ	7	累積 692 (71.0%)
 35 ハーネス	7	累積 699 (71.8%)
 36 配線	7	累積 706 (72.5%)
 37 スタック	6	累積 712 (73.1%)
 38 性能	6	累積 718 (73.7%)
 39 高速	6	累積 724 (74.3%)
 40 現象	6	累積 730 (74.9%)
上位 10 語で 449 件 (46.1%)
上位 20 語で 579 件 (59.4%)
上位 30 語で 663 件 (68.1%)
上位 50 語で 780 件 (80.1%)

== 旧表だけ の語(上位 40)==
  1 標的	101	累積 101 (10.8%)
  2 パッチ	71	累積 172 (18.4%)
  3 背景	61	累積 233 (24.9%)
  4 鍵	49	累積 282 (30.1%)
  5 キー	47	累積 329 (35.1%)
  6 バイパス	33	累積 362 (38.6%)
  7 フィールド	25	累積 387 (41.3%)
  8 タグ	22	累積 409 (43.6%)
  9 チェーン	19	累積 428 (45.7%)
 10 亜種	16	累積 444 (47.4%)
 11 機械	16	累積 460 (49.1%)
 12 反映	16	累積 476 (50.8%)
 13 汚染	15	累積 491 (52.4%)
 14 踏み台	13	累積 504 (53.8%)
 15 定番	13	累積 517 (55.2%)
 16 台帳	13	累積 530 (56.6%)
 17 ディスク	12	累積 542 (57.8%)
 18 武器	11	累積 553 (59.0%)
 19 土台	11	累積 564 (60.2%)
 20 ラベル	11	累積 575 (61.4%)
 21 ノイズ	10	累積 585 (62.4%)
 22 チケット	10	累積 595 (63.5%)
 23 クローン	9	累積 604 (64.5%)
 24 フォーク	9	累積 613 (65.4%)
 25 テーブル	9	累積 622 (66.4%)
 26 ロック	8	累積 630 (67.2%)
 27 無害	8	累積 638 (68.1%)
 28 ロード	8	累積 646 (68.9%)
 29 装置	7	累積 653 (69.7%)
 30 フレーム	6	累積 659 (70.3%)
 31 ダンプ	6	累積 665 (71.0%)
 32 道具	6	累積 671 (71.6%)
 33 映像	5	累積 676 (72.1%)
 34 エッジ	5	累積 681 (72.7%)
 35 機器	5	累積 686 (73.2%)
 36 マイナー	5	累積 691 (73.7%)
 37 入れ子	5	累積 696 (74.3%)
 38 素通し	5	累積 701 (74.8%)
 39 成熟	4	累積 705 (75.2%)
 40 パイプ	4	累積 709 (75.7%)
上位 10 語で 444 件 (47.4%)
上位 20 語で 575 件 (61.4%)
上位 30 語で 659 件 (70.3%)
上位 50 語で 742 件 (79.2%)
