word	kind	a	b	concrete_split	a_pass	b_pass	a_votes	b_votes	tier	jmdict_priority
Am	交わり無し	51	32	はい	割れた	割れた	3	3	corpus	いいえ
FIG	交わり無し	40	32	はい	一致	割れた	3	3	corpus	いいえ
H	交わり無し	51	31	はい	割れた	割れた	3	3	corpus	いいえ
acc	交わり無し	40	37	はい	一致	一致	2	3	corpus	いいえ
alt	交わり無し	31	45	はい	割れた	割れた	3	3	corpus	いいえ
c	交わり無し	40	31	はい	一致	割れた	2	3	corpus	いいえ
cc	交わり無し	51	19 31	はい	割れた	割れた	3	3	corpus	いいえ
eq	交わり無し	45	10	はい	割れた	割れた	3	3	corpus	いいえ
ftp	交わり無し	31	45	はい	割れた	割れた	3	3	corpus	いいえ
gc	交わり無し	45	15	はい	一致	割れた	2	3	corpus	いいえ
kc	交わり無し	40	19	はい	判定 1 回のみ	割れた	1	3	corpus	いいえ
lf	交わり無し	31	40	はい	割れた	割れた	3	3	corpus	いいえ
nw	交わり無し	45	17	はい	判定 1 回のみ	割れた	1	3	corpus	いいえ
pid	交わり無し	40	19	はい	割れた	割れた	3	3	corpus	いいえ
sse	交わり無し	45	31	はい	割れた	割れた	3	3	corpus	いいえ
tcp	交わり無し	45	31	はい	一致	割れた	2	3	corpus	いいえ
tel	交わり無し	31	45	はい	一致	一致	2	3	corpus	いいえ
xt	交わり無し	31	40	はい	一致	一致	2	2	corpus	いいえ
あか取り	交わり無し	24	45	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
あげちん	交わり無し	43	20	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
あご割れ	交わり無し	18	56	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
あちち	交わり無し	18	50	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
あっこ	交わり無し	54	17	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
あっぽ	交わり無し	42	20	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
あなじ	交わり無し	11	56	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
ありがた涙	交わり無し	56	30	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
あり切れ	交わり無し	37	41	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
あわ	交わり無し	15	50	はい	一致	割れた	3	3	corpus	はい
あわび結び	交わり無し	45	18	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
あんだ	交わり無し	43	15	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	はい
あんなん	交わり無し	43	10	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
いお	交わり無し	10	55	はい	判定 1 回のみ	割れた	1	3	corpus	はい
いか物	交わり無し	40	10	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
いちこめ	交わり無し	43	31	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
うたた寝	交わり無し	33	57	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
うた沢	交わり無し	47	32	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
うっぷ	交わり無し	30	56	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
うながっぱ	交わり無し	53	20	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
うましか	交わり無し	55	20	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	いいえ
うわん	交わり無し	40	12	はい	判定 1 回のみ	判定 1 回のみ	1	1	jmdict	はい
