word	kind	a	b	concrete_split	a_pass	b_pass	a_votes	b_votes	tier	jmdict_priority
いきり勃つ	交わり無し	30 33	56 57	はい	割れた	割れた	3	3	jmdict	いいえ
がちゃつく	交わり無し	15	50	はい	割れた	一致	3	3	jmdict	いいえ
がぶる	交わり無し	33	56	はい	一致	割れた	3	3	jmdict	いいえ
ぐむ	交わり無し	33	57	はい	一致	一致	3	3	jmdict	いいえ
したる	交わり無し	15 33	51	はい	割れた	割れた	3	3	jmdict	いいえ
しゃぶり付く	交わり無し	33	56	はい	割れた	割れた	3	3	jmdict	いいえ
しゃぶる	交わり無し	33	56	はい	一致	一致	3	3	jmdict	いいえ
しょぼつく	交わり無し	13	51 56	はい	一致	割れた	3	3	jmdict	いいえ
そそけ立つ	交わり無し	15	56	はい	割れた	割れた	3	3	jmdict	いいえ
たでる	交わり無し	15	51	はい	一致	割れた	3	3	jmdict	いいえ
どきつく	交わり無し	30	56	はい	一致	割れた	3	3	jmdict	いいえ
のた打ち回る	交わり無し	33	56	はい	割れた	割れた	3	3	jmdict	いいえ
ぱちつかせる	交わり無し	33	56	はい	割れた	一致	3	3	jmdict	いいえ
ぱらつく	交わり無し	15 50	51	はい	一致	割れた	3	3	jmdict	いいえ
ひり出す	交わり無し	15 56	57	はい	一致	一致	3	3	jmdict	いいえ
ぶち殺す	交わり無し	15 34	57	はい	割れた	一致	3	3	jmdict	いいえ
ぶるう	交わり無し	15	56	はい	割れた	割れた	3	3	jmdict	いいえ
へたばる	交わり無し	15 57	56	はい	割れた	割れた	3	3	jmdict	いいえ
へばる	交わり無し	33	56	はい	割れた	割れた	3	3	jmdict	いいえ
ぽちゃる	交わり無し	15	56	はい	割れた	一致	3	3	jmdict	いいえ
オナる	交わり無し	33	56	はい	一致	一致	2	3	jmdict	いいえ
ガシる	交わり無し	15	57	はい	割れた	割れた	3	3	jmdict	いいえ
ガスる	交わり無し	34	50	はい	割れた	割れた	3	3	jmdict	いいえ
シコる	交わり無し	33	56 57	はい	一致	割れた	3	3	jmdict	いいえ
タミフる	交わり無し	33	56	はい	割れた	一致	3	3	jmdict	いいえ
ハウる	交わり無し	31	50	はい	割れた	一致	3	3	jmdict	いいえ
パコる	交わり無し	35	57	はい	一致	割れた	3	3	jmdict	いいえ
ポニョる	交わり無し	15	56	はい	判定 1 回のみ	割れた	1	3	jmdict	いいえ
ラリる	交わり無し	30	56	はい	一致	割れた	2	3	jmdict	いいえ
便じる	交わり無し	15	57	はい	割れた	一致	3	3	jmdict	いいえ
催す	交わり無し	15 38	57	はい	一致	割れた	3	3	jmdict	はい
剃る	交わり無し	33	56	はい	割れた	一致	3	3	jmdict	はい
反りくり返る	交わり無し	15	56	はい	一致	割れた	3	3	jmdict	いいえ
取って食う	交わり無し	33	57	はい	割れた	割れた	3	3	jmdict	いいえ
取り殺す	交わり無し	34	57	はい	一致	一致	3	3	jmdict	いいえ
召される	交わり無し	36	57	はい	一致	一致	3	3	jmdict	いいえ
吐き戻す	交わり無し	15 56	57	はい	一致	割れた	3	3	jmdict	いいえ
吹きまくる	交わり無し	15 50	51	はい	割れた	割れた	3	3	jmdict	いいえ
吹き下ろす	交わり無し	15 50	51	はい	一致	割れた	3	3	jmdict	いいえ
吹き荒む	交わり無し	15 50	51	はい	一致	一致	3	3	jmdict	いいえ
吹き荒れる	交わり無し	15 50	51	はい	一致	割れた	3	3	jmdict	はい
吹き頻る	交わり無し	15 50	51	はい	一致	割れた	3	3	jmdict	いいえ
咥える	交わり無し	15 33	56	はい	割れた	一致	3	3	jmdict	はい
咲き渡る	交わり無し	15 57	50	はい	割れた	割れた	3	3	jmdict	いいえ
唾く	交わり無し	33	56	はい	割れた	割れた	3	3	jmdict	いいえ
嘶く	交わり無し	31	57	はい	割れた	割れた	3	3	jmdict	いいえ
噴く	交わり無し	15 50	51	はい	一致	割れた	3	3	jmdict	いいえ
固肥える	交わり無し	15	57	はい	割れた	一致	3	3	jmdict	いいえ
堕ろす	交わり無し	15 34	57	はい	割れた	一致	3	3	jmdict	いいえ
寒がる	交わり無し	30	56	はい	割れた	割れた	3	3	jmdict	いいえ
寝かしつける	交わり無し	33	57	はい	一致	一致	3	3	jmdict	いいえ
寝すぎる	交わり無し	33	57	はい	一致	割れた	3	3	jmdict	いいえ
寝る	交わり無し	33	57	はい	一致	割れた	3	3	jmdict	はい
寝れる	交わり無し	33	57	はい	一致	割れた	3	3	jmdict	いいえ
寝付く	交わり無し	15 33	57	はい	一致	割れた	3	3	jmdict	はい
寝入る	交わり無し	33	57	はい	一致	一致	3	3	jmdict	いいえ
寝直す	交わり無し	15 33	57	はい	割れた	割れた	3	3	jmdict	いいえ
寝覚める	交わり無し	33	57	はい	割れた	一致	3	3	jmdict	いいえ
尽れる	交わり無し	15 19	56	はい	一致	一致	3	3	jmdict	いいえ
居眠る	交わり無し	33	57	はい	一致	割れた	3	3	jmdict	いいえ
屠る	交わり無し	33 38	57	はい	割れた	割れた	3	3	jmdict	いいえ
崩ずる	交わり無し	15	57	はい	割れた	一致	3	3	jmdict	いいえ
微睡む	交わり無し	33	57	はい	一致	一致	3	3	jmdict	いいえ
打ち眺める	交わり無し	30	56	はい	割れた	割れた	3	3	jmdict	いいえ
打ち震える	交わり無し	15 33	56	はい	割れた	割れた	3	3	jmdict	いいえ
摂る	交わり無し	33 57	56	はい	割れた	割れた	3	3	jmdict	はい
撫ぜる	交わり無し	33	56	はい	割れた	割れた	3	3	jmdict	いいえ
明けはなれる	交わり無し	15	52	はい	一致	割れた	3	3	jmdict	いいえ
明け初める	交わり無し	15 16	52	はい	一致	割れた	3	3	jmdict	いいえ
明け渡る	交わり無し	15 37	52	はい	割れた	割れた	3	3	jmdict	いいえ
晴れ上がる	交わり無し	15 50 52	51	はい	割れた	割れた	3	3	jmdict	いいえ
暑がる	交わり無し	30	56	はい	割れた	一致	3	3	jmdict	いいえ
服む	交わり無し	30	56	はい	割れた	一致	3	3	jmdict	いいえ
朽ち果てる	交わり無し	15 57	51	はい	割れた	割れた	3	3	jmdict	いいえ
杓れる	交わり無し	15	56	はい	一致	一致	3	3	jmdict	いいえ
梳かす	交わり無し	15 33	56	はい	割れた	割れた	3	3	jmdict	はい
梳く	交わり無し	33	56	はい	一致	割れた	3	3	jmdict	はい
殺る	交わり無し	34	57	はい	一致	一致	3	3	jmdict	いいえ
泡立つ	交わり無し	15 50	51	はい	一致	一致	3	3	jmdict	いいえ
泣き立てる	交わり無し	30 33	56	はい	割れた	割れた	3	3	jmdict	いいえ
泥濘む	交わり無し	15	51	はい	割れた	割れた	3	3	jmdict	いいえ
浴す	交わり無し	15 33	56	はい	割れた	割れた	3	3	jmdict	いいえ
渇す	交わり無し	15	57	はい	割れた	割れた	3	3	jmdict	いいえ
溺れ損なう	交わり無し	15 34	57	はい	一致	割れた	3	3	jmdict	いいえ
滑つく	交わり無し	15	51	はい	一致	割れた	3	3	jmdict	いいえ
滴る	交わり無し	15 50	51	はい	一致	割れた	3	3	jmdict	いいえ
漏る	交わり無し	15	51	はい	一致	一致	3	3	jmdict	はい
潮垂れる	交わり無し	57	15 30	はい	割れた	割れた	3	3	jmdict	いいえ
濡れそぼる	交わり無し	15	51	はい	一致	割れた	3	3	jmdict	いいえ
濡れる	交わり無し	15	51	はい	割れた	一致	3	3	jmdict	はい
濡れ光る	交わり無し	15	50 51	はい	割れた	割れた	3	3	jmdict	いいえ
点ずる	交わり無し	32	51	はい	割れた	一致	3	3	jmdict	いいえ
焙じる	交わり無し	15 33	51	はい	割れた	割れた	3	3	jmdict	いいえ
煎ずる	交わり無し	33	51	はい	割れた	割れた	3	3	jmdict	いいえ
煙がる	交わり無し	51	30	はい	割れた	一致	3	3	jmdict	いいえ
照りつける	交わり無し	15 50	52	はい	一致	一致	3	3	jmdict	いいえ
照り合う	交わり無し	15 35	50	はい	一致	一致	3	3	jmdict	いいえ
煮零れる	交わり無し	15	51	はい	一致	割れた	3	3	jmdict	いいえ
熟む	交わり無し	15 57	50	はい	割れた	割れた	3	3	jmdict	いいえ
爆ぜる	交わり無し	15 50	51	はい	割れた	割れた	3	3	jmdict	いいえ
生かる	交わり無し	34	57	はい	割れた	一致	3	3	jmdict	いいえ
生まれ持つ	交わり無し	57	12	はい	一致	割れた	3	3	jmdict	いいえ
疲れきる	交わり無し	30	56	はい	割れた	一致	3	3	jmdict	いいえ
痂せる	交わり無し	15	56	はい	割れた	一致	3	3	jmdict	いいえ
盛り殺す	交わり無し	15	57	はい	一致	割れた	3	3	jmdict	いいえ
目くるめく	交わり無し	13 30	56	はい	割れた	一致	3	3	jmdict	いいえ
眠りこける	交わり無し	33	57	はい	割れた	一致	3	3	jmdict	いいえ
眠り込む	交わり無し	33	57	はい	一致	一致	3	3	jmdict	いいえ
眠れる	交わり無し	13 33	57	はい	割れた	一致	3	3	jmdict	いいえ
眩く	交わり無し	13 50	56	はい	割れた	割れた	3	3	jmdict	いいえ
立ち込む	交わり無し	15 17	50	はい	一致	割れた	3	3	jmdict	いいえ
立ち込める	交わり無し	15 17	50	はい	一致	割れた	3	3	jmdict	いいえ
聞こえる	交わり無し	30	56	はい	割れた	一致	3	3	jmdict	はい
脂ぎる	交わり無し	56	15 51	はい	割れた	割れた	3	3	jmdict	いいえ
舐めずる	交わり無し	34	56	はい	割れた	割れた	3	3	jmdict	いいえ
舐め回す	交わり無し	15 33	56	はい	割れた	割れた	3	3	jmdict	いいえ
苔むす	交わり無し	15 50	57	はい	一致	一致	3	3	jmdict	いいえ
草むす	交わり無し	15 50	57	はい	割れた	一致	3	3	jmdict	いいえ
蒸らす	交わり無し	15 33	51	はい	割れた	一致	3	3	jmdict	いいえ
薫じる	交わり無し	15 50	51	はい	一致	一致	3	3	jmdict	いいえ
視える	交わり無し	30	56	はい	割れた	割れた	3	3	jmdict	はい
触る	交わり無し	15 33	56	はい	一致	一致	3	3	jmdict	はい
診せる	交わり無し	31	56	はい	割れた	割れた	3	3	jmdict	いいえ
診る	交わり無し	30	56	はい	割れた	一致	3	3	jmdict	はい
赤錆びる	交わり無し	15	51	はい	割れた	一致	3	3	jmdict	いいえ
轟かす	交わり無し	50	15 31	はい	割れた	割れた	3	3	jmdict	いいえ
透ける	交わり無し	15	51	はい	一致	割れた	3	3	jmdict	いいえ
酔いつぶれる	交わり無し	15 33	57	はい	割れた	割れた	3	3	jmdict	いいえ
酔っ払う	交わり無し	33	56	はい	割れた	割れた	3	3	jmdict	はい
降らせる	交わり無し	15 50	51	はい	一致	割れた	3	3	jmdict	いいえ
降りしきる	交わり無し	15 50	51	はい	割れた	一致	3	3	jmdict	はい
降り注ぐ	交わり無し	15 50	51	はい	一致	割れた	3	3	jmdict	はい
降り積もる	交わり無し	15 50	51	はい	一致	割れた	3	3	jmdict	はい
降り続く	交わり無し	15 16	51	はい	割れた	割れた	3	3	jmdict	いいえ
降り込める	交わり無し	15 17	50	はい	一致	割れた	3	3	jmdict	いいえ
降る	交わり無し	15 52	51	はい	割れた	一致	3	3	jmdict	はい
陳こびる	交わり無し	15	57	はい	割れた	割れた	3	3	jmdict	いいえ
霜枯れる	交わり無し	15 50	57	はい	割れた	割れた	3	3	jmdict	いいえ
頬張る	交わり無し	33	56	はい	割れた	割れた	3	3	jmdict	いいえ
食いつく	交わり無し	15 35	56	はい	割れた	割れた	3	3	jmdict	いいえ
飲ます	交わり無し	33	56	はい	一致	割れた	3	3	jmdict	はい
飲ませる	交わり無し	33	56	はい	割れた	割れた	3	3	jmdict	はい
飲みつぶれる	交わり無し	33	57	はい	一致	割れた	3	3	jmdict	いいえ
飲み干す	交わり無し	33	56	はい	割れた	一致	3	3	jmdict	はい
飲む	交わり無し	33	56	はい	割れた	割れた	3	3	jmdict	はい
鳴きたてる	交わり無し	31 50	57	はい	割れた	割れた	3	3	jmdict	いいえ
鳴き頻る	交わり無し	50	31	はい	割れた	割れた	2	3	jmdict	いいえ
黴びる	交わり無し	15 50	51	はい	割れた	割れた	3	3	jmdict	いいえ
あやす	交わり無し	33	35	いいえ	一致	一致	3	3	jmdict	いいえ
あり合わせる	交わり無し	15 37	19 34	いいえ	一致	割れた	3	3	jmdict	いいえ
あり得る	交わり無し	10 12	13	いいえ	一致	一致	3	3	jmdict	いいえ
いてこます	交わり無し	15 34	35	いいえ	一致	一致	3	3	jmdict	いいえ
いてまう	交わり無し	15	35 57	いいえ	一致	割れた	3	3	jmdict	いいえ
うらぶれる	交わり無し	30	13 15	いいえ	割れた	割れた	3	3	jmdict	いいえ
おちゃらかす	交わり無し	31 33	35	いいえ	割れた	一致	3	3	jmdict	いいえ
