word	kept	dropped	passes	tier
あぶり出す	15	30 31	15 | 15 31 | 15 30	jmdict
いい子ぶる	33	30	33 | 30 33 | 33	jmdict
いかす	32 34	15	15 34 | 32 34 | 32 34	jmdict
いきり立つ	30	33	30 | 30 33 | 30	jmdict
いせる	15	36	15 | 15 36 | 15	jmdict
いちびる	33	30 34 35	30 33 | 34 | 33 35	jmdict
いびり出す	15 35	36	15 35 | 15 35 | 35 36	jmdict
うじゃける	15	12	15 | 12 | 15	jmdict
うねくる	15	17 33	15 | 15 17 | 15 33	jmdict
うらぶれる	30	33	30 | 30 | 30 33	jmdict
えぐり出す	15 30	32	15 30 | 15 30 | 15 32	jmdict
おだつ	30	33	30 | 30 | 30 33	jmdict
おちゃらかす	31 33	15	33 | 31 33 | 15 31	jmdict
おちゃらける	33	31 35	33 | 33 35 | 31 33	jmdict
おちょくる	35	31	35 | 31 35 | 35	jmdict
おっ広げる	15	17	15 | 15 17 | 15	jmdict
おっ立つ	15	33	15 | 15 | 15 33	jmdict
おびき出す	15 35	34	15 35 | 15 34 35 | 15 35	jmdict
おびき寄せる	15 35	17	15 35 | 15 17 | 15 35	jmdict
かい出す	15	33	15 | 15 | 15 33	jmdict
かき乱す	15	35	15 | 15 35 | 15	jmdict
かき出す	15	33	15 | 15 | 15 33	jmdict
かき口説く	35	31	35 | 35 | 31 35	jmdict
かき合わせる	15	35	15 | 15 35 | 15	jmdict
かき撫でる	33	15 56	15 33 | 33 | 33 56	jmdict
かき暮れる	16	52	16 52 | 16 | 16	jmdict
かけ離れる	11 15	17	11 15 | 15 17 | 11 15	jmdict
かしめる	36	15	36 | 15 | 36	jmdict
かち上げる	15 34	35	15 35 | 15 34 | 15 34	jmdict
かっ飛ばす	15 17	16	15 17 | 15 16 | 15 17	jmdict
がさつく	13	33	13 | 13 | 13 33	jmdict
がちゃつく	15	50	15 50 | 15 | 15	jmdict
がっつく	33	37	33 | 33 37 | 33	jmdict
ぎる	19	15	19 | 15 | 19	jmdict
くぐり抜ける	15 34	17	15 34 | 15 17 | 15 34	jmdict
くすねる	37	34	34 37 | 37 | 37	jmdict
くすむ	15 50	13	15 50 | 13 50 | 15 50	jmdict
くず折れる	15	33 56	15 33 | 15 | 15 56	jmdict
くらい込む	15	33	15 | 15 | 15 33	jmdict
くわえ込む	15	33	15 | 15 | 15 33	jmdict
ぐれる	34	30	34 | 34 | 30 34	jmdict
けつかる		15 35	35 | 15	jmdict
こき使う	36	38	36 | 36 38 | 36	jmdict
こき落とす	15 36	34	15 36 | 15 36 | 15 34	jmdict
こける	15 33	34	15 34 | 15 33 | 15 33	jmdict
こすみつける	15	33	15 | 15 | 15 33	jmdict
こすり合わせる	15	33	15 | 15 33 | 15	jmdict
こせつく	35	15	35 | 35 | 15	jmdict
こそげ取る	15	37	15 37 | 15 | 15	jmdict
こね回す	15	33	15 | 15 | 15 33	jmdict
こぼれ落ちる	15	17	15 | 15 17 | 15	jmdict
こみ上げる	15 56	30	15 56 | 15 56 | 15 30	jmdict
ごった返す	15	35	15 | 15 35 | 15	jmdict
ごてつく		13 33 35	35 | 13 | 33	jmdict
ごてる		13 15 33	13 | 33 | 15	jmdict
ささくれる	15	56	15 | 15 | 15 56	jmdict
さらけ出す	15 31	33	15 31 | 31 33 | 15 31	jmdict
さらす	15 33	36	15 33 | 15 36 | 15 33	jmdict
しけ込む	33	15 17	15 17 | 33 | 33	jmdict
したる	15 33	17	15 33 | 33 | 15 17	jmdict
しばく	15 34	35	15 34 | 15 34 | 15 35	jmdict
しまい込む	15 33	37	15 37 | 15 33 | 15 33	jmdict
しみったれる	30	13	30 | 13 30 | 30	jmdict
しみ出る	15	50	15 | 15 | 15 50	jmdict
しめる	15 33	36	15 33 | 15 33 | 15 33 36	jmdict
しゃくり上げる	15 56	33	33 56 | 15 56 | 15 56	jmdict
しゃぶり付く	33	56	33 56 | 33 | 33	jmdict
しょっ引く	15 36	35	15 36 | 15 36 | 15 35	jmdict
し尽くす	15 34	19	15 34 | 15 19 | 15 34	jmdict
し慣れる	33	15	33 | 33 | 15 33	jmdict
し損ねる	34	15	34 | 15 34 | 34	jmdict
し残す	15	34	15 | 15 | 15 34	jmdict
し終える	15	16	15 | 15 16 | 15	jmdict
し腐る	15	57	15 57 | 15 | 15	jmdict
し過ぎる	19	15	19 | 19 | 15 19	jmdict
じっと見返す	33 35	30	33 35 | 30 35 | 33	jmdict
