word	kept	dropped	passes	tier
あざ笑う	35	30	35 | 30 35 | 35	jmdict
あぶり出す	15	30	15 | 15 | 15 30	jmdict
あり合わせる	19 34	13	13 | 19 34 | 19 34	jmdict
いい子ぶる	33	34	33 | 34 | 33	jmdict
いかす	34 57	15	34 57 | 15 34 | 34 57	jmdict
いきり勃つ	56 57	30	56 57 | 30 | 56 57	jmdict
いじめ抜く	35	15	35 | 35 | 15 35	jmdict
いじり回す	15	33	15 | 15 33 | 15	jmdict
いぶし出す	15	35 51	15 51 | 15 35 | 15	jmdict
うじゃける	15	50 51 57	15 57 | 15 50 | 15 51	jmdict
うつ伏せる	33	56	33 | 33 56 | 33	jmdict
えぐり出す	15	30	15 30 | 15 | 15	jmdict
おだつ	30	33	30 | 30 | 30 33	jmdict
おっ立つ	33	56	33 | 33 | 33 56	jmdict
お出でなさる	12 17	15	12 17 | 15 17 | 12 17	jmdict
かき上げる	15 33	32 56	15 56 | 15 33 | 15 32 33	jmdict
かき出す	15	31	15 | 15 | 15 31	jmdict
かき合わせる	15	11 33	15 33 | 15 | 11 15	jmdict
かき寄せる	15	17	15 17 | 15 | 15	jmdict
かき撫でる	33 56	15	56 | 33 56 | 15 33	jmdict
かき曇る	50	30 51	30 51 | 50 | 50	jmdict
かき消す	15	31	15 31 | 15 | 15	jmdict
かき起こす	15 51	31 56	15 31 | 15 51 | 15 51 56	jmdict
かき込む	33	31 56	33 | 31 56 | 33	jmdict
かき集める	15	37	15 | 15 | 15 37	jmdict
かき鳴らす	32	15	32 | 32 | 15 32	jmdict
かち上げる	15	35	15 | 15 | 15 35	jmdict
かっ飛ばす	15	14	14 15 | 15 | 15	jmdict
かなぐり捨てる	15	34	15 | 15 | 15 34	jmdict
かみ合わせる	11 15	13	11 15 | 13 15 | 11 15	jmdict
がさつく	33 50	15	33 50 | 33 | 15 50	jmdict
がたつく	15	50	15 50 | 15 | 15	jmdict
がなり立てる	31	35	31 35 | 31 | 31	jmdict
がぶる	56	33	56 | 33 | 56	jmdict
くぐもる	31	13	31 | 13 31 | 31	jmdict
くたばる	57	33	57 | 57 | 33 57	jmdict
くらい込む	15	16 17 19	15 17 | 15 | 15 16 19	jmdict
くり下がる	16	15 19	15 16 | 16 | 16 19	jmdict
ぐら付く	15	13 30	13 15 | 15 | 15 30	jmdict
けつかる	35	34	35 | 34 | 35	jmdict
こき下ろす	31 35	36	31 36 | 31 35 | 31 35	jmdict
こき使う	36	38	36 | 36 38 | 36	jmdict
こき落とす	15	31	15 | 31 | 15	jmdict
こぎ着ける	34	15	34 | 34 | 15 34	jmdict
こじ入れる	15 17	14	15 17 | 14 15 | 15 17	jmdict
こすみつける	15	35	15 | 15 | 15 35	jmdict
こすり合わせる	15	11	15 | 11 15 | 15	jmdict
こせつく		13 30 34	13 | 30 | 34	jmdict
こね回す	15 30	31	15 30 | 15 30 31 | 15	jmdict
こびり付く	15	17	15 | 15 | 15 17	jmdict
こぼれ落ちる	15	17	15 | 15 17 | 15	jmdict
こみ上げる	15 30	57	15 30 57 | 15 30 | 15 30	jmdict
ごちゃつく	13	15	13 15 | 13 | 13	jmdict
ごった返す	13	12	13 | 13 | 12	jmdict
